الرقم,الفئة,العربية,الأمهرية,النطق
1,التحيات والترحيب,مرحباً,ሰላም,سالام
2,التحيات والترحيب,كيف حالك؟ (مذكر),እንደምን ነህ?,إنديمن نيه؟
3,التحيات والترحيب,كيف حالك؟ (مؤنث),እንደምን ነሽ?,إنديمن نيش؟
4,التحيات والترحيب,كيف حالكم؟ (جمع/احترام),እንደምን ናችሁ?,إنديمن ناتشو؟
5,التحيات والترحيب,أنا بخير، شكراً.,ደህና ነኝ፣ አመሰግናለሁ።,ديحنا نيني، أميسيغينالو.
6,التحيات والترحيب,صباح الخير (مذكر),እንደምን አደርክ?,إنديمن أديِرك؟
7,التحيات والترحيب,صباح الخير (مؤنث),እንደምን አደርሽ?,إنديمن أديِرش؟
8,التحيات والترحيب,مساء الخير (مذكر),እንደምን ዋልክ?,إنديمن والِك؟
9,التحيات والترحيب,مساء الخير (مؤنث),እንደምን ዋልሽ?,إنديمن والش؟
10,التحيات والترحيب,ليلة سعيدة (مذكر),ደህና እደር።,ديحنا إديِر.
11,التحيات والترحيب,ليلة سعيدة (مؤنث),ደህና እደሪ።,ديحنا إديِري.
12,التحيات والترحيب,وداعاً (مذكر),ደህና ሁን።,ديحنا هون.
13,التحيات والترحيب,وداعاً (مؤنث),ደህና ሁኚ።,ديحنا هوني.
14,التحيات والترحيب,أهلاً بك! (مذكر),እንኳን ደህና መጣህ።,إنكوان ديحنا ميطاح.
15,التحيات والترحيب,أهلاً بك! (مؤنث),እንኳን ደህና መጣሽ።,إنكوان ديحنا ميጣش.
16,التحيات والترحيب,أهلاً بكم! (جمع/احترام),እንኳን ደህና መጣችሁ።,إنكوان ديحنا ميطاتشو.
17,التحيات والترحيب,أهلاً بك (الرد على الترحيب),እንኳን ደህና ቆየህ። (م),إنكوان ديحنا قُويِه.
18,التحيات والترحيب,أهلاً بك (الرد على الترحيب),እንኳን ደህና ቆየሽ። (ف),إنكوان ديحنا قُويِش.
19,التحيات والترحيب,أهلاً بكم (الرد على الترحيب),እንኳን ደህና ቆያችሁ።,إنكوان ديحنا قُوياتشو.
20,التحيات والترحيب,كيف حال الصحة؟ (مذكر),ጤናህ እንዴት ነው?,طِيناِه إنديِت نيِو؟
21,التحيات والترحيب,صحتي جيدة.,ጤናዬ ጥሩ ነው።,طِيناييِ طِرو نيِو.
22,التحيات والترحيب,كل شيء جيد.,ሁሉም ጥሩ ነው።,هولوم طِرو نيِو.
23,التحيات والترحيب,ما الجديد؟,አዲስ ነገር አለ?,أديس نيغير ألي؟
24,التحيات والترحيب,لا جديد.,አዲስ ነገር የለም።,أديس نيغير ييليم.
25,التحيات والترحيب,ما اسمك؟ (مذكر),ስምህ ማን ነው?,سيميِه مان نيِو؟
26,التحيات والترحيب,ما اسمك؟ (مؤنث),ስምሽ ማን ነው?,سيميِش مان نيِو؟
27,التحيات والترحيب,اسمي...,ስሜ...,سيمي...
28,التحيات والترحيب,تشرفت بمعرفتك.,በመተዋወቃችን ደስ ብሎኛል።,بيميتيواويقاشين ديس بيلونيا.
29,التحيات والترحيب,من فضلك (مذكر),እባክህ።,إيباكيِه.
30,التحيات والترحيب,من فضلك (مؤنث),እባክሽ።,إيباكيِش.
31,التحيات والترحيب,شكراً جزيلاً.,በጣም አመሰግናለሁ።,بيطام أميسيغينالو.
32,التحيات والترحيب,لا مشكلة / عفواً.,ምንም አይደለም።,مِنم أييدِليِم.
33,التحيات والترحيب,مع السلامة (ابق في سلام),በሰላም ቆይ።,بيسالام قُوي.
34,التحيات والترحيب,أراك لاحقاً.,ኋላ እንገናኝ።,هُوالا إنيغيناين.
35,التحيات والترحيب,أراك غداً.,ነገ እንገናኝ።,نيِغيِر إنيغيناين.
36,التحيات والترحيب,أتمنى لك يوماً سعيداً. (م),መልካም ቀን ይሁንልህ።,مِلكام قيِن ييهونليِه.
